ID,Aktivitätstyp,Datum,Titel,Distanz,Kalorien,Ø Geschwindigkeit,Maximale Geschwindigkeit,Ø Herzfrequenz,Maximale Herzfrequenz,Schritte,Gesamtzeit
24238472320,Cardio,2026-09-04 18:21:37,Tennis,0.0,925.0,--,--,133.0,174.0,0,02:06:57
24213829101,Cardio,2026-09-02 17:35:44,Tennis,0.0,1477.0,--,--,159.0,183.0,0,02:21:01
24199035308,Cardio,2026-09-01 17:14:53,Tennis,0.0,378.0,--,--,143.0,188.0,0,00:43:06
24173885874,Cardio,2026-08-30 16:16:39,Schwimmen,0.0,464.0,--,--,155.0,169.0,0,00:37:03
24170003210,Laufen,2026-08-30 10:54:44,Deutschlandsberg Laufen,13.06,931.0,5:33,5:01,161.0,172.0,11780,01:12:36
24156358628,Cardio,2026-08-29 08:07:44,Padel Tennis,0.0,724.0,--,--,121.0,152.0,0,01:55:02
24114062490,Cardio,2026-08-25 18:18:56,Tennis,0.0,842.0,--,--,132.0,163.0,0,01:56:23
24100898027,Laufen,2026-08-24 18:58:53,Deutschlandsberg Laufen,16.17,1088.0,5:12,4:39,162.0,174.0,13510,01:24:08
24070009502,Laufen,2026-08-22 10:39:33,Deutschlandsberg Laufen,8.83,619.0,5:50,5:15,152.0,163.0,8348,00:51:37
24064341587,Cardio,2026-08-21 17:12:17,Padel Tennis,0.0,922.0,--,--,150.0,182.0,0,01:35:40
24052632673,Laufen,2026-08-20 19:39:43,Deutschlandsberg Laufen,8.95,636.0,5:30,4:57,160.0,173.0,7888,00:49:18
24026934125,Cardio,2026-08-18 19:23:16,Tennis,0.0,461.0,--,--,125.0,154.0,0,01:01:33
24014680980,Cardio,2026-08-17 18:19:56,Tennis,0.0,626.0,--,--,130.0,166.0,0,01:16:11
24002570464,Cardio,2026-08-16 20:17:15,Cardio,0.0,70.0,--,--,84.0,126.0,0,00:21:42
23984659522,Radfahren,2026-08-15 11:35:27,Deutschlandsberg Radfahren,26.51,682.0,2:31,1:16,142.0,163.0,0,01:06:46
23977708804,Laufen,2026-08-14 19:30:25,Deutschlandsberg Laufen,8.93,552.0,6:07,5:36,141.0,152.0,8742,00:54:45
23964022732,Cardio,2026-08-13 16:16:30,Tennis,0.0,1057.0,--,--,148.0,179.0,0,01:45:12
23953910261,Laufen,2026-08-12 19:38:41,Deutschlandsberg Laufen,9.15,572.0,6:34,5:39,138.0,147.0,9354,01:00:05
23925678092,Cardio,2026-08-10 17:38:15,Tennis,0.0,917.0,--,--,145.0,172.0,0,01:32:35
23909757185,Laufen,2026-08-09 11:35:56,Deutschlandsberg Laufen,13.12,919.0,5:31,4:39,160.0,172.0,11744,01:12:30
23902966789,Radfahren,2026-08-08 19:03:58,Deutschlandsberg Radfahren,17.46,646.0,3:55,1:23,147.0,180.0,0,01:08:30
23900986122,Radfahren,2026-08-08 16:15:26,Deutschlandsberg Radfahren,18.9,612.0,3:21,1:10,141.0,175.0,0,01:03:35
23881834958,Cardio,2026-08-06 18:04:31,Padel Tennis,0.0,1044.0,--,--,143.0,167.0,0,01:57:34
23828152032,Laufen,2026-08-02 19:16:04,Deutschlandsberg Laufen,4.1,286.0,5:57,5:16,149.0,163.0,3896,00:24:27
23803852668,Cardio,2026-07-31 18:29:48,Tennis,0.0,1377.0,--,--,163.0,184.0,0,01:54:44
23780689091,Cardio,2026-07-29 18:58:08,Padel Tennis,0.0,670.0,--,--,122.0,160.0,0,01:46:59
23767712749,Laufen,2026-07-28 20:09:56,Frauental an der Laßnitz Laufen,12.6,824.0,4:55,4:09,170.0,182.0,10244,01:01:56
23742140114,Laufen,2026-07-26 18:25:40,Kirchberg in Tirol Laufen,11.58,768.0,5:25,3:51,159.0,177.0,10148,01:02:50
23737708025,Cardio,2026-07-26 12:31:25,Schwimmen,0.0,478.0,--,--,148.0,171.0,0,00:42:30
23729028694,Cardio,2026-07-25 17:19:50,Schwimmen,0.0,289.0,--,--,150.0,170.0,0,00:24:25
23724112266,Gehen,2026-07-25 09:32:16,Wandern: Kirchberg in Tirol,8.23,521.0,11:52,9:03,88.0,114.0,10442,01:37:41
23713187307,Gehen,2026-07-24 11:12:00,Wandern: runter (auf Umwegen) ,5.86,365.0,11:51,4:26,111.0,136.0,7872,01:09:31
23713183175,Gehen,2026-07-24 09:23:47,Wandern: Streif rauf,5.8,684.0,16:26,9:24,117.0,158.0,8914,01:35:23
23694095497,Cardio,2026-07-22 18:01:54,Padel Tennis,0.0,638.0,--,--,114.0,149.0,0,01:57:51
23681287761,Laufen,2026-07-21 18:27:56,Deutschlandsberg Laufen,17.12,1066.0,5:32,4:39,154.0,168.0,15294,01:34:52
23668646285,Cardio,2026-07-20 18:40:48,Padel Tennis,0.0,741.0,--,--,127.0,157.0,0,01:51:20
23650870220,Cardio,2026-07-19 10:16:11,Tennis,0.0,384.0,--,--,124.0,157.0,0,00:54:46
23644383164,Cardio,2026-07-18 16:14:42,Tennis,0.0,320.0,--,--,119.0,144.0,0,00:47:57
23639263617,Cardio,2026-07-18 09:04:42,Padel Tennis,0.0,714.0,--,--,121.0,159.0,0,01:57:44
23624382073,Laufen,2026-07-16 19:15:38,Deutschlandsberg Laufen,11.35,748.0,5:25,4:32,158.0,181.0,9852,01:01:35
23598498055,Cardio,2026-07-14 19:16:20,Tennis,0.0,690.0,--,--,138.0,168.0,0,01:21:35
