ID,Aktivitätstyp,Datum,Titel,Distanz,Kalorien,Ø Geschwindigkeit,Maximale Geschwindigkeit,Ø Herzfrequenz,Maximale Herzfrequenz,Schritte,Gesamtzeit
22384030372,Laufen,2026-04-02 16:39:46,Deutschlandsberg Laufen,8.77,568.0,5:49,4:01,148.0,160.0,8174,00:50:60
22375105591,Cardio,2026-04-01 19:05:30,FB — Training — 1 — 04,0.0,603.0,--,--,136.0,172.0,0,01:13:36
22362658346,Laufen,2026-03-31 18:10:37,Deutschlandsberg Laufen,7.92,524.0,5:41,4:06,150.0,164.0,7142,00:45:04
22309064867,Cardio,2026-03-26 18:44:13,FB — Training — 7 — 03,0.0,546.0,--,--,125.0,166.0,0,01:15:34
22296898618,Laufen,2026-03-25 17:05:19,Deutschlandsberg Laufen,9.69,718.0,6:09,4:00,156.0,178.0,9370,00:59:43
22276455457,Indoor Cycling,2026-03-23 21:25:51,Indoor Cycling — 22 km,0.0,191.0,--,--,88.0,145.0,0,00:52:56
22246250912,Cardio,2026-03-21 09:55:23,FB Training — 6 — 03,0.0,541.0,--,--,132.0,175.0,0,01:04:37
22238963543,Laufen,2026-03-20 15:52:25,Deutschlandsberg Laufen,8.79,571.0,6:17,4:05,145.0,168.0,8648,00:55:20
22230272161,Cardio,2026-03-19 18:46:52,FB — Training — 5 — 03,0.0,728.0,--,--,138.0,176.0,0,01:22:04
22207993418,Indoor Cycling,2026-03-17 20:36:21,Indoor Cycling — 24 km,0.0,180.0,--,--,84.0,103.0,0,01:00:52
22182417926,Laufen,2026-03-15 14:13:00,3 - 2 - 1 — Intervalle,11.6,760.0,5:34,3:19,158.0,184.0,10414,01:04:41
22173928420,Indoor Cycling,2026-03-14 18:10:00,Indoor Cycling — 21 km,0.0,317.0,--,--,114.0,139.0,0,00:52:02
22162919775,Cardio,2026-03-13 18:44:22,FB — Training — 4 — 03,0.0,527.0,--,--,130.0,174.0,0,01:09:29
22151132614,Indoor Cycling,2026-03-12 17:12:17,Indoor Cycling — 21.5 km,0.0,210.0,--,--,96.0,116.0,0,00:50:06
22141956074,Cardio,2026-03-11 18:52:11,FB — Training — 3 — 03,0.0,569.0,--,--,135.0,179.0,0,01:12:31
22084021479,Cardio,2026-03-06 18:10:21,FB Training — 2 — 03,0.0,623.0,--,--,139.0,175.0,0,01:07:07
22070668789,Laufen,2026-03-05 14:39:25,Deutschlandsberg Laufen,8.77,618.0,5:58,4:41,154.0,169.0,8228,00:52:23
